Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-11T00:02:09Z,"0002cc0100000eb0","3654332d81f93aa8091605b584462302000000000000ffffffffffffffffffff",2,3.67,,9,22.02,70.91,,145.50,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:08:06Z,"0002cc0100000eb0","3654332ee6f93aa809160cb5c1462033000000000000ffffffffffffffffffffffff",2,3.67,,9,22.04,71.00,,144.10,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:14:02Z,"0002cc0100000eb0","365433304af93aa8091613b59346239e000000000000ffffffffffffffffffff",2,3.67,,9,22.07,70.93,,145.81,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:19:58Z,"0002cc0100000eb0","36543331aef93aad091613b5514623ef000000000000ffffffffffffffffffffffff",2,3.67,,9,22.07,70.83,,145.97,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:25:54Z,"0002cc0100000eb0","3654333312f93aad091613b551462468000000000000ffffffffffffffffffff",2,3.67,,9,22.07,70.83,,146.20,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:31:49Z,"0002cc0100000eb0","3654333475f93aad09160cb546462124000000000000ffffffffffffffffffff",2,3.67,,9,22.04,70.81,,144.57,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:37:45Z,"0002cc0100000eb0","36543335d9f93aad091617b545462332000000000000ffffffffffffffffffff",2,3.67,,9,22.09,70.81,,145.60,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:43:42Z,"0002cc0100000eb0","365433373ef93aa409160cb52a462169000000000000ffffffffffffffffffffffff",2,3.66,,9,22.04,70.77,,144.71,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:49:37Z,"0002cc0100000eb0","36543338a1f93aad091605b48646228c000000000000ffffffffffffffffffff",2,3.67,,9,22.02,70.52,,145.27,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T00:55:33Z,"0002cc0100000eb0","3654333a05f93aad0915fdb47a4622d2000000000000ffffffffffffffffffff",2,3.67,,9,21.99,70.50,,145.41,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T01:01:30Z,"0002cc0100000eb0","3654333b6af93aad0915fab4d746220a000000000000ffffffffffffffffffffffff",2,3.67,,9,21.97,70.64,,145.02,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-11T01:07:25Z,"0002cc0100000eb0","3654333ccdf93aa4091608b518461284000000000000ffffffff4e9c6e5d75a0",2,3.66,,9,22.03,70.74,,137.26,,0,0,0,0,,,,0.35,0.20,0.01,-1.00,-1.00
2024-10-11T01:13:21Z,"0002cc0100000eb0","3654333e31f93aa809161eb49d45b5fd000000000000e522fc5b6771f5997c67cd27",2,3.67,,9,22.12,70.55,,109.50,,0,0,0,0,,,-0.01,0.55,-0.35,0.12,-0.54,-0.08
2024-10-11T01:19:17Z,"0002cc0100000eb0","3654333f95f93aa409162db4b245a7090000000000007435741b6cc06464771a",2,3.66,,9,22.17,70.59,,105.76,,0,0,0,0,,,,0.44,0.07,0.15,0.26,0.26
2024-10-11T01:25:13Z,"0002cc0100000eb0","36543340f9f93aad091633b7c24541fa0000000000007cb9c6a47cc17c6677506c28",2,3.67,,9,22.20,71.78,,80.49,,0,0,0,0,,,0.13,0.46,0.55,0.59,-0.01,0.59
2024-10-11T01:31:09Z,"0002cc0100000eb0","365433425df93aa4091633b7e845522a00000000000074cc4504fdb0fca3771a",2,3.66,,9,22.20,71.84,,84.54,,0,0,0,0,,,,0.44,-0.58,-0.71,0.00,0.30
2024-10-11T01:37:05Z,"0002cc0100000eb0","36543343c1f93aad091642b49b453242000000000000c7ccf611f509f666de20",2,3.67,,9,22.26,70.55,,76.56,,0,0,0,0,,,,-0.05,-0.40,-0.31,-0.38,-0.01
2024-10-11T01:43:01Z,"0002cc0100000eb0","3654334525f93aa409163bb37d458718000000000000fef05ed2fe3b6eb0e486e5a8",2,3.66,,9,22.23,70.11,,97.77,,0,0,0,0,,,-0.09,-0.07,0.21,-0.78,0.05,-0.87
2024-10-11T01:48:57Z,"0002cc0100000eb0","3654334689f93aa409163eb4af459eec000000000000cc20fc8dd508756ff475",2,3.66,,9,22.24,70.58,,103.73,,0,0,0,0,,,,-0.28,0.34,-0.02,-0.57,-0.01
